,name,business_status,rating,price_level,types,vicinity
0,Sai Café,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2010 N Sheffield Ave, Chicago"
1,The Galway Arms,OPERATIONAL,4.4,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2442 N Clark St, Chicago"
2,Broken English Taco Pub,OPERATIONAL,4.2,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2576 N Lincoln Ave, Chicago"
3,The Dime,OPERATIONAL,4.1,2.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","2263 N Lincoln Ave, Chicago"
4,Taco & Burrito Express,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2540 N Halsted St, Chicago"
5,Beck's Chicago,OPERATIONAL,4.7,,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2201 N Clybourn Ave, Chicago"
6,Tandoor Char House,OPERATIONAL,4.3,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","2652 N Halsted St, Chicago"
7,Wendy's,OPERATIONAL,3.9,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2312 N Ashland Ave, Chicago"
8,5411 Empanadas,OPERATIONAL,4.5,1.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","2850 N Clark St, Chicago"
9,Chicago Pizza and Oven Grinder Company,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2121 N Clark St, Chicago"
10,Duke Of Perth,OPERATIONAL,4.7,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2913 N Clark St, Chicago"
11,Riccardo Trattoria,OPERATIONAL,4.7,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2119 N Clark St, Chicago"
12,Circle Sushi & Grill,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1623 N Halsted St, Chicago"
13,1959 Kitchen & Bar,CLOSED_TEMPORARILY,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","230 W North Ave 2nd floor, Chicago"
14,Taco Bell,OPERATIONAL,4.1,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1439 N Milwaukee Ave, Chicago"
15,McDonald's,OPERATIONAL,3.8,1.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1737 W Fullerton Ave, Chicago"
16,Wilde Bar & Restaurant,OPERATIONAL,4.5,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","3130 N Broadway, Chicago"
17,Ranalli's Lincoln Park,OPERATIONAL,4.3,2.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1925 N Lincoln Ave, Chicago"
18,Conrad's Grill,OPERATIONAL,4.7,,"['restaurant', 'food', 'point_of_interest', 'establishment']","1422 N Milwaukee Ave, Chicago"
19,Portillo's Hot Dogs,OPERATIONAL,4.4,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 W Ontario St, Chicago"
20,Sai Café,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2010 N Sheffield Ave, Chicago"
21,The Galway Arms,OPERATIONAL,4.4,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2442 N Clark St, Chicago"
22,Broken English Taco Pub,OPERATIONAL,4.2,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2576 N Lincoln Ave, Chicago"
