,name,business_status,rating,price_level,types,vicinity,Latitude,Longitude
0,Xi'an Dynasty Cuisine 西安食代 (Lincoln Park),OPERATIONAL,4.7,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2218 N Lincoln Ave, Chicago",41.9221964,-87.64458289999999
1,Wendy's,OPERATIONAL,3.9,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2312 N Ashland Ave, Chicago",41.9237584,-87.6686678
2,Summer House Santa Monica,OPERATIONAL,4.4,2.0,"['bakery', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1954 N Halsted St, Chicago",41.9175694,-87.648662
3,Kizami Sushi,OPERATIONAL,4.8,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2235 N Lincoln Ave, Chicago",41.9228107,-87.6448656
4,Dog Haus,OPERATIONAL,4.4,2.0,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2464 N Lincoln Ave, Chicago",41.9267452,-87.650976
5,Beck's Chicago,OPERATIONAL,4.7,,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2201 N Clybourn Ave, Chicago",41.92178800000001,-87.6642973
6,The Pasta Bowl - Lincoln Park,OPERATIONAL,4.5,2.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","2434 N Clark St, Chicago",41.9264445,-87.6411894
7,Del Seoul,OPERATIONAL,4.6,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2568 N Clark St, Chicago",41.92944199999999,-87.64301499999999
8,BIG & little's Restaurant,OPERATIONAL,4.4,1.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1034 W Belmont Ave, Chicago",41.94000630000001,-87.6554433
9,Sai Café,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2010 N Sheffield Ave, Chicago",41.9184528,-87.6535361
10,Portillo's Hot Dogs,OPERATIONAL,4.4,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 W Ontario St, Chicago",41.8934295,-87.6314147
11,Willow Room,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1800 N Halsted St, Chicago",41.9139595,-87.6485251
12,Stand-Up Burgers,OPERATIONAL,4.4,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","614 W Diversey Pkwy, Chicago",41.9329785,-87.6442825
13,Bacino's of Lincoln Park,OPERATIONAL,4.5,,"['restaurant', 'food', 'point_of_interest', 'establishment']","2204 N Lincoln Ave, Chicago",41.9221306,-87.6443737
14,Pasta Palazzo,OPERATIONAL,4.6,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1966 N Halsted St, Chicago",41.9179056,-87.6486389
15,Peking Chinese Food,OPERATIONAL,3.9,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","129 W North Ave, Chicago",41.9110489,-87.6327457
16,Kameya,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","806 W Webster Ave, Chicago",41.921933,-87.64909
17,True Food Kitchen,OPERATIONAL,4.5,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1 W Erie St, Chicago",41.893954,-87.628365
18,R.J. Grunts,OPERATIONAL,4.3,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2056 N Lincoln Park W, Chicago",41.9200672,-87.6366328
19,Taco Bell,OPERATIONAL,4.1,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1439 N Milwaukee Ave, Chicago",41.9081724,-87.67360289999999
20,Xi'an Dynasty Cuisine 西安食代 (Lincoln Park),OPERATIONAL,4.7,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2218 N Lincoln Ave, Chicago",41.9221964,-87.64458289999999
21,Wendy's,OPERATIONAL,3.9,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2312 N Ashland Ave, Chicago",41.9237584,-87.6686678
22,Summer House Santa Monica,OPERATIONAL,4.4,2.0,"['bakery', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1954 N Halsted St, Chicago",41.9175694,-87.648662
23,Kizami Sushi,OPERATIONAL,4.8,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2235 N Lincoln Ave, Chicago",41.9228107,-87.6448656
24,Dog Haus,OPERATIONAL,4.4,2.0,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2464 N Lincoln Ave, Chicago",41.9267452,-87.650976
25,Beck's Chicago,OPERATIONAL,4.7,,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2201 N Clybourn Ave, Chicago",41.92178800000001,-87.6642973
26,The Pasta Bowl - Lincoln Park,OPERATIONAL,4.5,2.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","2434 N Clark St, Chicago",41.9264445,-87.6411894
27,Del Seoul,OPERATIONAL,4.6,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2568 N Clark St, Chicago",41.92944199999999,-87.64301499999999
28,BIG & little's Restaurant,OPERATIONAL,4.4,1.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1034 W Belmont Ave, Chicago",41.94000630000001,-87.6554433
29,Sai Café,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2010 N Sheffield Ave, Chicago",41.9184528,-87.6535361
30,Portillo's Hot Dogs,OPERATIONAL,4.4,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 W Ontario St, Chicago",41.8934295,-87.6314147
