,name,business_status,rating,price_level,types,vicinity,Latitude,Longitude
0,Shake Shack,OPERATIONAL,4.2,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","105 S 12th St Unit 1-01, Philadelphia",39.95023200000001,-75.160071
1,Tai's Vietnamese Food,OPERATIONAL,4.0,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1835 N 12th St, Philadelphia",39.9808625,-75.15330999999999
2,QDOBA Mexican Eats,OPERATIONAL,4.1,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 Welsh Rd Unit M, Horsham",40.1583703,-75.14242229999999
3,Great Wall,OPERATIONAL,4.1,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","807 N Easton Rd #107, Doylestown",40.3337693,-75.1286138
4,El Vez,OPERATIONAL,4.5,2.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","121 S 13th St, Philadelphia",39.94970199999999,-75.1617703
5,Blue Bay,OPERATIONAL,4.1,,"['restaurant', 'food', 'point_of_interest', 'establishment']","7642 City Ave, Philadelphia",39.9776774,-75.2723051
6,Yard House,OPERATIONAL,4.3,2.0,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","160 N Gulph Rd, King of Prussia",40.0878425,-75.3951177
7,The Tasty,OPERATIONAL,4.7,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1401 S 12th St, Philadelphia",39.9323427,-75.1640184
8,El Limon,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","38 E Butler Ave, Ambler",40.154078,-75.22250199999999
9,Parc,OPERATIONAL,4.6,3.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","227 S 18th St, Philadelphia",39.9492019,-75.17065550000001
10,California Pizza Kitchen at King of Prussia,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","470 Mall Blvd, King of Prussia",40.08944,-75.38477999999999
