Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Country,United States,,,,8/31/2022,11.7
Msa,"Akron, OH",OH,,,8/31/2022,10.4
Msa,"Albany, NY",NY,,,8/31/2022,10.1
Msa,"Albuquerque, NM",NM,,,8/31/2022,14
Msa,"Allentown, PA",PA,,,8/31/2022,13.4
Msa,"Atlanta, GA",GA,,,8/31/2022,16.8
Msa,"Augusta, GA",GA,,,8/31/2022,11.6
Msa,"Austin, TX",TX,,,8/31/2022,21.5
Msa,"Bakersfield, CA",CA,,,8/31/2022,16.5
Msa,"Baltimore, MD",MD,,,8/31/2022,8.2
Msa,"Baton Rouge, LA",LA,,,8/31/2022,6.2
Msa,"Birmingham, AL",AL,,,8/31/2022,10.9
Msa,"Boise City, ID",ID,,,8/31/2022,21.9
Msa,"Boston, MA",MA,,,8/31/2022,9.4
Msa,"Buffalo, NY",NY,,,8/31/2022,12.6
Msa,"Charleston, SC",SC,,,8/31/2022,15.9
Msa,"Charlotte, NC",NC,,,8/31/2022,16.6
Msa,"Chicago, IL",IL,,,8/31/2022,8.9
Msa,"Cincinnati, OH",OH,,,8/31/2022,12.3
Msa,"Cleveland, OH",OH,,,8/31/2022,12.1
Msa,"Colorado Springs, CO",CO,,,8/31/2022,15.8
Msa,"Columbia, SC",SC,,,8/31/2022,11.9
Msa,"Columbus, OH",OH,,,8/31/2022,11.5
Msa,"Dallas-Fort Worth, TX",TX,,,8/31/2022,18.6
Msa,"Dayton, OH",OH,,,8/31/2022,12.8
Msa,"Daytona Beach, FL",FL,,,8/31/2022,20
Msa,"Denver, CO",CO,,,8/31/2022,17.8
Msa,"Des Moines, IA",IA,,,8/31/2022,7.7
Msa,"Detroit, MI",MI,,,8/31/2022,11.2
Msa,"El Paso, TX",TX,,,8/31/2022,17.6
Msa,"Fort Collins, CO",CO,,,8/31/2022,11.1
Msa,"Fort Myers, FL",FL,,,8/31/2022,69.2
Msa,"Fresno, CA",CA,,,8/31/2022,15
Msa,"Grand Rapids, MI",MI,,,8/31/2022,11.3
Msa,"Greensboro, NC",NC,,,8/31/2022,21.1
Msa,"Greenville, SC",SC,,,8/31/2022,10.4
Msa,"Harrisburg, PA",PA,,,8/31/2022,9.7
Msa,"Hartford, CT",CT,,,8/31/2022,13.2
Msa,"Houston, TX",TX,,,8/31/2022,12.3
Msa,"Indianapolis, IN",IN,,,8/31/2022,12.2
Msa,"Jackson, MS",MS,,,8/31/2022,10.8
Msa,"Jacksonville, FL",FL,,,8/31/2022,18.7
Msa,"Kansas City, MO",MO,,,8/31/2022,10.7
Msa,"Knoxville, TN",TN,,,8/31/2022,16.4
Msa,"Lakeland, FL",FL,,,8/31/2022,16.7
Msa,"Las Vegas, NV",NV,,,8/31/2022,14.3
Msa,"Little Rock, AR",AR,,,8/31/2022,8.1
Msa,"Los Angeles-Long Beach-Anaheim, CA",CA,,,8/31/2022,11.6
Msa,"Louisville-Jefferson County, KY",KY,,,8/31/2022,9.4
Msa,"Madison, WI",WI,,,8/31/2022,9.6
Msa,"McAllen, TX",TX,,,8/31/2022,10.7
Msa,"Memphis, TN",TN,,,8/31/2022,12.1
Msa,"Miami-Fort Lauderdale, FL",FL,,,8/31/2022,14.5
Msa,"Milwaukee, WI",WI,,,8/31/2022,9.5
Msa,"Minneapolis-St Paul, MN",MN,,,8/31/2022,9
Msa,"Nashville, TN",TN,,,8/31/2022,16.3
Msa,"New Haven, CT",CT,,,8/31/2022,13.9
Msa,"New Orleans, LA",LA,,,8/31/2022,9.5
Msa,"New York, NY",NY,,,8/31/2022,8.3
Msa,"North Port-Sarasota-Bradenton, FL",FL,,,8/31/2022,41.1
Msa,"Ogden, UT",UT,,,8/31/2022,16.5
Msa,"Oklahoma City, OK",OK,,,8/31/2022,10.2
Msa,"Omaha, NE",NE,,,8/31/2022,10
Msa,"Orlando, FL",FL,,,8/31/2022,12
Msa,"Philadelphia, PA",PA,,,8/31/2022,10.9
Msa,"Phoenix, AZ",AZ,,,8/31/2022,21.7
Msa,"Pittsburgh, PA",PA,,,8/31/2022,10.6
Msa,"Portland, OR",OR,,,8/31/2022,13.3
Msa,"Providence, RI",RI,,,8/31/2022,14.6
Msa,"Provo, UT",UT,,,8/31/2022,17.9
Msa,"Raleigh, NC",NC,,,8/31/2022,34.2
Msa,"Richmond, VA",VA,,,8/31/2022,9.2
Msa,"Riverside, CA",CA,,,8/31/2022,17.2
Msa,"Rochester, NY",NY,,,8/31/2022,10.6
Msa,"Sacramento, CA",CA,,,8/31/2022,15.4
Msa,"Salt Lake City, UT",UT,,,8/31/2022,15.7
Msa,"San Antonio, TX",TX,,,8/31/2022,14.1
Msa,"San Diego, CA",CA,,,8/31/2022,18.9
Msa,"San Francisco, CA",CA,,,8/31/2022,7.1
Msa,"San Jose, CA",CA,,,8/31/2022,5.1
Msa,"Seattle, WA",WA,,,8/31/2022,11.6
Msa,"Springfield, MA",MA,,,8/31/2022,11.8
Msa,"St. Louis, MO",MO,,,8/31/2022,10
Msa,"Stamford, CT",CT,,,8/31/2022,11.7
Msa,"Stockton, CA",CA,,,8/31/2022,15.4
Msa,"Syracuse, NY",NY,,,8/31/2022,9.2
Msa,"Tampa, FL",FL,,,8/31/2022,23.3
Msa,"Toledo, OH",OH,,,8/31/2022,11.1
Msa,"Tucson, AZ",AZ,,,8/31/2022,17.7
Msa,"Tulsa, OK",OK,,,8/31/2022,10.8
Msa,"Urban Honolulu, HI",HI,,,8/31/2022,8.7
Msa,"Ventura, CA",CA,,,8/31/2022,15.6
Msa,"Virginia Beach, VA",VA,,,8/31/2022,10.1
Msa,"Washington, DC",DC,,,8/31/2022,8.3
Msa,"Wichita, KS",KS,,,8/31/2022,10.6
Msa,"Winston-Salem, NC",NC,,,8/31/2022,32
Msa,"Worcester, MA",MA,,,8/31/2022,13.7
Zip,27013,NC,Rowan County,Cleveland,8/31/2022,13.8
Zip,27054,NC,Rowan County,Woodleaf,8/31/2022,11.9
Zip,27502,NC,Wake County,Apex,8/31/2022,33.4
Zip,27504,NC,Johnston County,Benson,8/31/2022,29.3
Zip,27508,NC,Franklin County,Bunn,8/31/2022,29.5
Zip,27511,NC,Wake County,Cary,8/31/2022,33.7
Zip,27513,NC,Wake County,Cary,8/31/2022,33.7
Zip,27518,NC,Wake County,Cary,8/31/2022,33.7
Zip,27519,NC,Wake County,Cary,8/31/2022,32.4
Zip,27520,NC,Johnston County,Clayton,8/31/2022,30.2
Zip,27523,NC,Wake County,Apex,8/31/2022,33.1
Zip,27524,NC,Johnston County,Four Oaks,8/31/2022,28.5
Zip,27525,NC,Franklin County,Franklinton,8/31/2022,31.4
Zip,27526,NC,Wake County,Fuquay Varina,8/31/2022,33.2
Zip,27527,NC,Johnston County,Clayton,8/31/2022,30.2
Zip,27529,NC,Wake County,Garner,8/31/2022,33.6
Zip,27539,NC,Wake County,Apex,8/31/2022,33.4
Zip,27540,NC,Wake County,Holly Springs,8/31/2022,34
Zip,27542,NC,Johnston County,Kenly,8/31/2022,29.3
Zip,27545,NC,Wake County,Knightdale,8/31/2022,34.7
Zip,27549,NC,Franklin County,Louisburg,8/31/2022,29
